ID	X20_vs_X5_ratio	X20_vs_X5_p.adj
PEA15	-2	0.0203
PEBP1	-1.27	0.0118
PEPD	-1.43	0.00343
PFDN5	-1.15	0.0175
PFN1	-1.62	0.00868
PFN2	-1.81	0.0076
PGAM1	-1.32	0.00506
PGAM4	-3.2	0.000311
PGK1	-1.35	0.00499
PGLS	-1.23	0.0432
PHLDB1	-2.12	0.00352
PIP	-2.61	0.0303
PIR	-1.27	0.019
PITHD1	-1.17	0.0276
PITPNA	-1.46	0.00654
PITPNB	-1.18	0.0175
PLCG1	-1.42	0.00726
PLG	-4.2	0.000785
PLIN3	-2.61	0.000943
PLOD3	-3.71	0.000265
PMM1	-2.96	0.000526
PMM2	-2.6	0.00879
PNP	-1.5	0.0187
POLR2E	-1.01	0.0355
POSTN	-1.87	0.0288
POTEF	-3.68	0.000947
PPIA	-1.23	0.0442
PPM1A	-2.11	0.0433
PPP1R7	-1.49	0.0128
PPP2CA	-1.96	0.00506
PPP2CB	-1.96	0.00291
PPP2R2A	-1.45	0.00549
PPP4R1	-1.18	0.0405
PPP6R3	-1.55	0.00684
PRDX2	-1.1	0.00954
PRDX5	-1.11	0.0401
PRDX6	-1.4	0.00416
PRKAG1	-1.05	0.025
PRPF8	-4.15	0.000262
PRPSAP1	-1.03	0.0327
PRPSAP2	-1.25	0.0186
PSAT1	-1.73	0.00283
PSMA3	-1.19	0.0167
PSMA4	-1.31	0.0107
PSMA5	-1.11	0.0164
PSMA6	-1.04	0.0121
PSMB7	-1.06	0.0257
PSMD1	-1.28	0.0197
PSMD10	-1.96	0.00479
PSMD13	-1.41	0.00574
PSMD14	-1.39	0.00633
PSMD4	-2.76	0.000655
PSMD6	-1.82	0.00385
PSMD7	-1.15	0.0338
PSMD9	-1.01	0.0212
PSME1	-1.26	0.036
PSMF1	-1.41	0.0159
PSPH	-1.16	0.00833
PTGR2	-1.3	0.0365
PTK2	-1.08	0.0161
PTPA	-2.19	0.00234
PTPRM	-3.25	0.00131
PZP	-3.95	0.000664
QARS1	-1.2	0.00688
RAB3GAP2	-1.32	0.0097
RABGGTA	-3.88	0.00314
RAN	-1.34	0.00468
RANBP1	-1.18	0.0102
RANBP9	-2.69	0.0207
RBP4	-4.21	0.0032
RBX1	-1	0.0281
RGN	-4.52	0.00121
RIDA	-1.44	0.013
RNH1	-1.95	0.00706
RNPEP	-1.6	0.00386
RPL37A	-3.45	0.000417
RPS7	-3.65	0.00116
RTCA	-1.59	0.0348
S100A11	-1.94	0.0207
S100A4	-2.37	0.0175
S100A6	-2.11	0.00228
SACM1L	-1.46	0.0108
SERPINA7	-4	0.000577
SERPINB6	-1.3	0.00613
SERPINB9	-1.51	0.0426
SERPINC1	-3.58	0.000334
SERPINF1	-4.42	0.000712
SF3A3	-2.64	0.00833
SF3B1	-3.1	0.00448
SFPQ	-4.25	0.000289
SGTA	-1.17	0.0175
SH3BGRL3	-1.78	0.0125
SH3GL1	-1.26	0.00951
SIRT2	-1.15	0.0112
SLC12A4	-2.79	0.000866
SLC9A3R1	-3.22	0.000464
SMG1	-2.5	0.00868
SNRNP200	-3.66	0.000366
SNTB2	-4.49	0.000604
SOD1	-3.35	0.00168
SORD	-4.42	0.000478
SRM	-1.53	0.00978
SRRT	-1.36	0.0421
SSRP1	-3.33	0.000584
ST13	-1.05	0.0128
STAM	-5.43	0.000169
STIP1	-3.59	0.00038
STK10	-1.28	0.0121
STMN1	-1.88	0.00262
STRAP	-1.49	0.00793
STRN	-1.2	0.0286
SVIL	-1.07	0.0493
TBC1D13	-4.06	0.00145
TBC1D15	-3.96	0.000164
TBCA	-1.49	0.037
TCEA1	-1.17	0.0471
TCP1	-1.18	0.0154
TF	-5.28	0.000244
THBS1	-2.44	0.00212
THBS4	-5.62	0.000289
TMEM14C	-1.68	0.0211
TOM1L2	-3.42	0.000289
TPI1	-1.25	0.00581
TTLL12	-1.89	0.00525
TTR	-4.17	0.00549
TUBA4A	-1.15	0.015
TUBB4B	-2.23	0.000662
TWF1	-1.47	0.014
TWF2	-6.28	0.0126
TXN	-1.83	0.0247
TXNL1	-1.77	0.00431
UBA1	-1.11	0.0443
UBE2D2	-1.36	0.0224
UBE2D3	-1.14	0.0364
UBE2V1	-1.27	0.0172
UBE2V2	-1.28	0.00794
UBE2Z	-1.31	0.0285
UBE4B	-5.27	0.000162
UBL4A	-1.03	0.0144
UBL5	-1.23	0.0109
UCHL1	-1.38	0.00564
UCHL5	-1.55	0.0465
UPF1	-1.98	0.00398
USP10	-1.18	0.0211
USP15	-1.45	0.00496
USP9X	-1.48	0.00372
USP9Y	-2.06	0.0162
VNN1	-4.64	0.000311
VPS26A	-2.13	0.0287
VTA1	-2.28	0.000688
VTN	-3.21	0.000937
WARS1	-1.14	0.0163
WASHC4	-4.42	0.000476
YWHAB	-1.32	0.0145
YWHAE	-1.54	0.00835
YWHAG	-1.28	0.0126
YWHAH	-1.17	0.0124
YWHAQ	-1.4	0.0176
YWHAZ	-1.69	0.00776
