ID	CS.T2DM_vs_N.ctr_ratio	CS.T2DM_vs_N.ctr_p.adj
ACBD3	3.15	0.0383
RUFY1	3.42	0.00255
NOP56	5.11	0.00123
PPM1B	2.49	0.00973
ACAA1	4.61	0.00387
GNG12	4.45	0.00224
WDR61	3.28	0.00562
VAMP7	3.09	0.017
VAC14	5.06	0.019
DNAJC10	3.88	0.0148
UBE2Z	3.45	0.0354
RELCH	3.39	0.00303
CUTA	5.82	0.00453
TFRC	4.7	0.00251
MTOR	2.42	0.00848
MRPL14	2.5	0.0111
NRDC	3.1	0.0291
LMO7	7.23	0.00251
VPS13C	5.87	0.00426
UCHL5	3.11	0.0129
NCLN	5.71	0.00172
RIPOR1	2.68	0.0169
SLC3A2	5.16	0.0139
AHSA1	5.15	0.0158
SRRT	2.77	0.00842
XPOT	4.09	0.00468
STIM1	3.07	0.0434
U2AF2	3.14	0.0153
COX5A	6.87	0.00307
DNAJC3	5	0.00426
UBE3C	2.69	0.00756
TOR1AIP2	3.83	0.015
APMAP	5.61	0.00515
ABCC1	6.04	0.000642
ABCF2	2.6	0.0191
GALNT2	4.4	0.0155
PKD2	2.35	0.0102
TMEM106B	4.12	0.00171
ATG3	2.61	0.00854
GNL1	7.73	0.000557
MAN2A1	6.53	0.000557
CSTB	6.63	0.015
CYP20A1	2.15	0.033
AP3M1	5.42	0.0238
TMX4	2.21	0.0163
PI4K2A	6.05	0.00594
DLG1	3.76	0.0264
LAMTOR3	4.94	0.00981
STAM2	2.9	0.0386
PTPN23	3.69	0.00251
COMMD4	2.51	0.0365
IGF2R	5.59	0.00243
EXOC6B	3.87	0.011
HERC4	5.82	0.00184
NUCB2	5.39	0.00426
THRAP3	3.76	0.0288
MYO1B	6.51	0.000728
CUL4B	4.72	0.00284
CTPS2	1.71	0.0499
AGL	5.9	0.000711
TOMM40	5.69	0.000711
NBAS	4.74	0.00135
UQCRC1	4.28	0.00278
ABCF3	5.26	0.0125
TM9SF4	2.94	0.00546
GOLGB1	4.58	0.00136
UBE4B	3.81	0.00181
SSRP1	1.49	0.0371
EXOC7	4.77	0.00815
NDUFA8	3.21	0.0138
OSBP	5.01	0.00135
SERPINE2	9.41	0.000728
SNRPG	2.38	0.0231
HSD17B4	6.98	0.00555
PDPR	2.97	0.0383
SEC16A	5.14	0.00251
UGGT2	5.26	0.0148
MYO9B	6.98	0.00351
DAZAP1	3.63	0.0158
WDR26	2.54	0.027
SCCPDH	3.87	0.0274
ARHGEF7	3.55	0.0265
MICU1	2.99	0.00425
TIMM44	6.46	0.00127
METAP2	3.03	0.03
NAGLU	3.82	0.0274
ABCF1	4.4	0.0474
COG3	2.74	0.00716
AFG3L2	3.78	0.00444
BCKDHA	2.64	0.00675
ACAT1	8.49	0.000642
ATXN2	4.49	0.00134
IARS2	6.64	0.000642
GRN	4.03	0.0424
