ID	CS.T2DM_vs_N.ctr_ratio	CS.T2DM_vs_N.ctr_p.adj
RAP2A	-2.39	0.0223
APOH	-3.97	0.0127
SERPINF1	-2.71	0.0285
GLIPR2	-1.63	0.0415
SERPINB6	-2.16	0.0111
GRB2	-2.67	0.0121
SERPINC1	-2.41	0.0102
DSG1	-4.78	0.00333
CLINT1	-6.35	0.000728
H1-2	-4.43	0.00351
GLO1	-2.1	0.0116
SUMO2	-2.57	0.0088
RBM8A	-3.34	0.0231
GMDS	-2.46	0.0391
PLG	-5.24	0.00555
ALDH3A1	-7.36	0.00484
NIT1	-4.08	0.00324
ARPC5L	-2.5	0.025
PBDC1	-3.34	0.0357
DENR	-2.59	0.0366
ARL3	-3.1	0.0168
SLC12A4	-9.34	0.000557
IGFBP2	-3.32	0.0156
ST13	-2.31	0.022
PHLDB1	-5.48	0.000711
PPM1A	-3.6	0.00577
GSTA5	-14.1	0.000443
DCD	-5.51	0.0243
MOB1A	-3.28	0.0111
THBS4	-2.8	0.00761
PTMA	-5.2	0.000885
FBLN2	-7.89	0.000557
VPS28	-4.39	0.00582
BTF3L4	-3.31	0.00722
ANXA3	-1.58	0.0371
GSTA1	-4.15	0.0323
ZBTB8OS	-3.55	0.00815
HDGF	-2.72	0.00596
NPEPL1	-1.76	0.0327
STMN2	-6.59	0.012
KRT80	-6.91	0.000642
VBP1	-3.99	0.00134
SRSF5	-2.43	0.009
CAMK1	-3.32	0.0026
CDV3	-2.41	0.0238
PPP4C	-5.37	0.00557
RBM14	-1.54	0.0372
DCUN1D1	-2.53	0.0296
PDCL3	-3.23	0.00841
LSM12	-3.87	0.0148
UBXN1	-2.06	0.012
GSTM5	-9.29	0.000852
GPX3	-5.89	0.00555
AAMP	-4.66	0.00251
LGALSL	-5.23	0.0012
HDGFL3	-5	0.00155
SMAP	-5.1	0.0213
SRSF6	-3.1	0.0127
NOL3	-5.62	0.00815
ALDH1L1	-9.87	0.000557
TRAPPC5	-2.85	0.0252
PMM1	-3.6	0.00239
APCS	-5.44	0.00273
PIR	-5.48	0.000784
CASP3	-2.11	0.034
OVCA2	-2.97	0.0128
MARCHF5	-2.57	0.0167
PMM2	-2.85	0.0117
SSU72	-4.34	0.00441
ARHGEF10L	-2.26	0.0498
PPP1R13L	-2	0.0488
SERPINB9	-7	0.00109
IMPDH1	-3.47	0.0119
ARPIN	-5.36	0.0111
APOA1	-7.77	0.00251
PTGR2	-2.63	0.0225
CALML5	-8.7	0.00141
SERPINA7	-1.82	0.0422
HSD17B8	-4.43	0.00815
C11orf68	-1.48	0.0437
GID8	-2.61	0.0352
ANP32B	-4.44	0.00933
VCAM1	-11	0.0013
FLG2	-6.4	0.0118
SMARCC2	-1.66	0.0323
YRDC	-3.5	0.0332
STK10	-2.39	0.017
MBNL2	-4.23	0.012
PIN4	-3.82	0.0375
MARCKSL1	-3.15	0.0421
GALK2	-6.3	0.00453
MST1	-5.28	0.0387
CELF1	-5.21	0.00299
MOSPD1	-3	0.0446
POGLUT1	-1.42	0.0482
CNTN1	-2.34	0.0462
IFT22	-3.76	0.00865
RNF13	-3.19	0.00703
ARG1	-5.76	0.0101
C9	-4.49	0.0313
ORMDL1	-4.37	0.00933
PRRX1	-5.98	0.0371
DSC1	-6.92	0.0236
