Gene	M1_24h_1	M1_24h_2	M1_24h_3	MO_Baseline_1	MO_Baseline_2	MO_Baseline_3	M2_24h_1	M2_24h_2	M2_24h_3
Gdnf	2.44236083858438	2.81931525724394	2.07671316728638	0.238070281144229	0.361689830774367	0.333398629754866	0.389035597818574	0.503001266183011	0.36600157194612
Gdpd1	26.7040447489419	25.1298581102416	23.8555768960077	45.7259126197709	42.6400859193346	49.2860754864449	20.0909098016306	17.8565449494969	18.6928607720775
Gdpd2	0.0404811188715643	0.0813264016512674	0	0.17239572082858	0.0550397568569689	0.219555195204424	0.0648392663030957	0.574858589923441	0.151756749343513
Gdpd3	3.84570629279861	1.68074563412619	3.07513295925099	4.83528950323969	5.51183850810502	5.5701966190752	1.70434642853851	2.06589805753736	1.81215412451372
Gdpd4	0	0	0	0	0	0	0	0	0
Gdpd5	9.9448615361143	10.9926186231963	8.36010172471697	9.16981048407255	9.16018810548124	7.72509020163714	2.79735120336213	2.17368404314801	2.75840209100857
Gdpgp1	1.76767552405831	1.95183363963042	1.79715562553629	2.64340105270489	3.09795202880653	3.69991162288936	2.48241762417566	2.58686365465548	2.84767076709299
Gem	2.02405594357822	3.90366727926084	3.04850843146526	0.467931242249002	0.39314112040692	0.341530303651326	0.778071195637148	0.763484064742069	0.589173262157169
Gemin2	3.95365594312278	2.39912884871239	2.95532258421523	5.85324518813225	5.08724609806555	6.18820383520617	7.20642131197263	6.38631964743072	6.73978504437368
Gemin4	0.323848950972514	0	0.718862250214516	4.61363786217437	4.74128191210746	4.09836364381591	8.60509691365369	8.38036038122766	9.64994388472576
Gemin5	1.63273846115309	1.97894244018084	2.56926693132225	7.19136435456361	8.31886610781043	6.86313276861236	13.9311795028366	14.8834481797366	15.4256272273877
Gemin6	2.8336783210095	2.11448644293295	2.95532258421523	4.43303282130633	4.26164974521102	4.97658442463361	10.6429024260367	9.10791578409951	10.1944828088407
Gemin7	37.7418964945885	37.3559271584822	37.6337700251192	25.5556132828271	29.9180392629666	27.2085808575556	36.9583817927645	35.1741599709405	35.9306421239789
Gemin8	2.21296783164552	1.76207203577746	1.49097355600048	2.42174941163957	2.18586462946248	2.30126371269822	2.83440221267818	2.69464964026613	2.20493629928516
Gen1	0.404811188715643	0.664165613485351	0.612364139071625	3.24268141558519	2.64977115154264	2.55334560348848	1.90812697977682	1.70661143883521	2.383473651454
Get4	38.9023552355733	33.0998454720658	36.1694209969045	27.6818271730462	27.5906438301577	29.0951292015344	45.2392823749027	43.8688961435326	38.0909440852218
Gfap	0.0404811188715643	0	0	0	0	0	0	0	0
Gfer	3.81871888021757	3.36149126825239	3.9670546400727	12.8640045018278	12.83998899249	12.9944148865433	16.6451659352376	14.7846443595935	16.1844109741053
Gfi1	0.0809622377431286	0.32530560660507	0.292869805642951	0.131349120631299	0.188707737795322	0.260213564686725	0.361247340831533	0.700608906469193	0.669515070633147
Gfi1b	0.5667356642019	0.623502412659717	1.30460186150042	0	0.0471769344488304	0.0487900433787609	0.611341653714902	0.296411460429274	0.0981955436928615
Gfm1	22.3860587359751	23.679537280794	24.6010636740079	26.8362672089822	25.8922741899998	26.2734383594627	46.5082794439776	43.859913978065	43.223892960076
Gfm2	21.8598041906447	26.2277645325337	26.9173975913658	20.2031366171016	17.6598991286789	19.0037218960274	17.608492177455	21.6290544458694	19.8622804287834
Gfod1	1.95658741212561	2.08737764238253	1.62409619492909	1.05079296505039	1.66691835052534	1.05711760653982	2.49168037650468	2.52398849638261	2.59771847405661
Gfod2	0.458786013877729	0.935253618989575	0.479241500143011	0.632117643038125	1.06934384750682	0.992064215368137	1.94517798909287	1.35630698560062	2.17815569645984
Gfpt1	54.5820419451592	54.4480259055235	57.9615969895186	25.8757767643659	26.9144411030578	26.4035451418061	22.397335131555	21.0631780214136	23.3169781932504
Gfpt2	0.418304895006165	0.487958409907604	0.346118861214397	0.476140562288458	0.802007885630117	0.520427129373449	1.0837420224946	1.00600253236602	0.77663748193445
Gfra1	0.985040559208065	0.230424804678591	0.27955754175009	0.205233000986404	0.0707654016732457	0.0731850650681413	0.314933579186465	0.368268784169704	0.419562777596772
Gfra2	0.134937062905214	0.10843520220169	0.0266245277857228	0.0328372801578247	0.0864910464895225	0.317135281961946	1.12079303181065	1.44612864027616	1.22298086235655
Gfra3	0	0	0	0	0	0	0	0	0
Gfra4	0.229393006938864	0	0.119810375035753	2.24935369081099	2.95642122546004	2.14676190866548	0.546502387411806	0.35928661870215	0.785564349542892
Gfral	0	0	0	0	0	0	0	0	0
Gfy	0	0.0948808019264787	0	0	0	0	0	0	0
Gga1	76.8736447371006	76.6365791560443	77.5572494398106	51.1933197660487	50.8095584013904	50.1724279411591	44.8131957677681	43.7431458269868	44.5807768365591
Gga2	3.64330069844079	3.14462086384901	3.88718105671553	33.6910494419281	32.2297090509593	33.7139199747238	32.1324878293484	34.3298364169905	33.8149745007781
Gga3	34.5843692226064	31.3648822368388	30.6048946896884	38.0830356630372	31.9702359114908	43.8541173236095	24.388826882293	22.724878632911	21.1031150263568
